Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bulgaria,,,,,,,,,,,,,,,,,,,,,4.3845817867,2.561667209,1.0792766722,6.4469564894,-2.4827782663,5.6459403761,1.2856534391,8.924390317,-4.0730716787,-17.0841641265,-20.0381044365,-1.8745181305,-1.0052933282,5.9023109901,4.3500022316,-4.433081742,-5.9188828973,11.0402764104,0.915397884,8.8629241591,9.6362696371,9.7852869265,5.173072515,6.9225139806,5.1221148407,5.5624785235,5.2183356516,12.3908921536,-0.8448897469,-0.2030555853
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2145900803,-6.0930978185,0.3061629833,6.379653231
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6528416508,-6.5729526339,-2.7832563803,-4.0668024005,1.03369745,0.7461132692,10.625981029,-8.5734784324,10.9313865903,8.6081452323,1.3797115234,-4.1185557997,6.7652967563,-4.7894161519,-4.6150964579,2.7610992403,-3.0961915528,1.6368629406,-5.0833783948,-10.8309048233,-2.6798726632
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.9458324276,-16.3670607891,-13.7011247207,4.648476391,8.8230926502,18.4300023587,2.1003253587,5.7342912245,6.3279987032,8.2122019576,12.5628030738,14.990716303,18.204648228,14.2394700951,7.0815685324,17.2159303936,-7.227791637,8.3569090497
Belize,,,,,,,,,,,,,,,,,,,,,-1.6396666133,-5.7105622917,-5.1242528989,-2.2950795346,-2.1311336816,5.2772081209,7.4418429337,6.1966162964,10.0366384474,10.432620989,7.2659010857,11.6294177068,3.3663993549,0.0696291858,-0.762329244,-0.3998845798,-2.6334161905,0.8488559782,0.4689324719,-4.2185706542,-1.367533533,3.5071436241,-1.1633485908,-4.0194264452,-1.5439761653,-2.3707038907,-2.5015226731,-5.7097293543,4.9903063265,-3.8695317845
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,-0.6155035728,4.7304732963,0.5242064489,2.4288496644,-0.1280234145,3.9810894794,0.6113953041,-2.7955923574,-4.4242794654,-7.5999131784,13.0182639584,-33.6602572246,0.7309087723,2.6034027766,0.9966493336,-4.3551870401,5.2849424892,3.2929716318,0.3833234844,2.6447119824,3.6796818191,0.028611741,0.3043468713,2.5310380443,3.9647040359,3.3659168916,4.7110078277,5.9311959275,-3.6831434839,-3.9630830876,0.8342829086,2.6266555991,-2.0483068126,0.1391169088,-7.5271015576,5.9347761997,2.3726537659,6.0292256289,8.2411001515,3.9154655193
Brazil,,,,,,,,,,,9.0728501261,10.2727516063,12.1513063213,3.3632203098,2.3570337378,7.8924807878,2.373275173,-0.93273342,2.7517248868,4.703637182,-8.786575635,-4.5650475347,-8.2635794455,5.4558749904,6.6902091406,9.4634405235,1.6679405939,-2.313200562,11.5233688667,-17.8826873431,1.5559791129,-0.8767464932,3.4320646471,2.9696142742,4.4281348412,2.0086324345,1.7509629636,-3.2668898758,-5.3665362874,3.1667562556,-0.8199570106,1.8033801137,-0.711107409,6.2653826322,0.7706785036,3.4541845717,5.1668879167,3.6219003668,0.375745343,13.1495778732
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,7.2274204833,-0.1508377532,4.1709352521,5.4531834404,9.752242095,1.9013615823,-16.7385196656,2.2587073131,7.4883618826,1.5848899235,2.8269381775,6.8851216803,8.5468317281,-3.4503475466,-3.7635071967,-1.250596382,0.7649522502,-0.4968546407,-1.0257122194,-5.1231027356,-2.4692134694,1.3740989672,-5.7402343962,3.2435191544,-4.3676752938
