Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0668075683,0.1960811739,0.4478390359,0.6264840624,0.9818151873,1.4427635848,2.1204625341,3.117192947,3.5085964007,4.4399246012,5.2275839566,6.2006712547,10.4992443169,12.5,16.8,22.4
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0032881707,0.0129462624,0.0254982532,0.0376727094,0.1051381678,0.4507891789,0.786079155,1.4778749586,2.0387321835,2.8706851585,4.528494869,9.1494250856,13.2075861035,19.0736722744,21.0227472488,28.1783801798,30.88,33.83,39.22,40.65
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0077522385,0.3894642141,0.7834289117,1.9702492365,2.3762470346,3.9736783546,11.9364503384,27.8363224241,39.689627116,49.8,52.5,55.3,58.2,61.4,64.7,65.1
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.0170801663,3.3033499272,4.8310579051,6.284742844,7.6710412058,8.9962845345,12.9177690823,15.3298798557,19.5950032207,29.7156041448,36.4663919476,42.1863491609,44.68,46,49,53
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.1375715143,0.4009444469,0.8646285642,1.6758025838,2.4369123995,3.1569841961,3.8471067449,4.5183172582,5.92,6.55,7.17,13.6
Botswana,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.064521041,0.1574542296,0.3077468499,0.6024009291,1.1223914736,2.9026666218,3.430886787,3.3859223506,3.3451901741,3.3048892532,3.2625540361,4.2899329752,5.28,6.25,6.15,6
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0058495028,0.0142708807,0.0278782013,0.0408942872,0.0533941742,0.0785434278,0.1285371165,0.1515633379,0.2234013955,0.2681956092,0.3111591732,0.375815961,1,1.8,2
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3609997006,0.5703859263,0.9159810402,1.1845575091,2.378693853,4.1635252527,6.7602396505,15.0723573636,24.8974003031,36.1864400395,51.3,60.2,61.5932992682,64.2,65.9559634649,71.66,72.4,73.2,76.7,80.3,80.3
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5957142234,1.1799559699,1.7517133216,2.1672702033,2.7200043291,3.5520072109,4.5496567482,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0365489382,0.0717831443,0.1410845067,0.3469807814,0.6834756102,1.057092496,1.6623220218,4.1034192972,16.6,19.1,22.1,25.4737788865,28.1779101232,31.1753470304,34.4977511736,35.9,37.3,41.56,45
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0001686803,0.0011681145,0.0049547095,0.0130816918,0.0323948609,0.1685402973,0.7081879568,1.7759132068,2.6396502149,4.5957043308,6.2,7.3,8.5232570027,10.5231526194,16,22.6,28.9,34.3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0002002556,0.0084097798,0.0188283613,0.0609744386,0.1186859167,0.2314616706,0.3957477022,0.4979293608,0.7586696295,0.8492824147,1.0392382051,1.5249007912,1.8,1.9,2,2.7
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0067687443,0.0132163405,0.1290675809,0.2521200777,0.2770513218,0.3608715843,0.5876226111,0.9760754155,1.4026542258,2.0287447915,2.93,3.4,3.84,4.3
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0035268604,0.0034691036,0.0034151431,0.0167910492,0.0263547321,0.0322236164,0.1572495172,0.4600141868,1.0775049296,1.4634200595,2.0079900794,2.7597043737,4.2875099028,4.5,5
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.1071739453,0.1880467904,0.3300177727,0.5505210232,1.1262252446,1.6977307936,2.2075329926,2.8541999713,4.6,7.3889237105,9.118690303,11.0072638905,15.3416745366,21.8,25.6,30,36.5
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0.0378709698,0.1481629644,0.2717406073,0.4430683725,0.554869675,0.8481893702,1.3273271779,2,2.2,2.5,3,3.5,5.1
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2409679199,0.4727350084,1.1599824611,1.8224438516,2.6853327127,3.518757175,4.3248853905,5.3188320696,6.0740871066,6.8089110075,8.2832198195,14,21,30
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0011133254,0.0815097538,0.2799124787,0.4168292061,0.8410570405,1.6402212877,2.6663786978,3.9043232571,5.8002530233,9.559482135,19.8948511346,20.3336148144,20.7923067056,22.07,25.1,28.4,32.29,34.33,36.5
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.000091658,0.0319490014,0.0682202138,0.2266991989,0.3146905412,0.5411825488,1.0797517219,3.7705850377,5.2412690537,8.407984759,9.7380622078,11.1596013148,11.69,12.94,14.33,15.9
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
